Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Ford Focus 1.5 EcoBlue Vignale,Płock,Diesel,2019,80900,160000,1498,Ford,Focus
Mercedes-Benz CL 63 AMG 7G-TRONIC,Odrowąż,Benzyna,2008,99000,299000,6208,Mercedes-Benz,0
Opel Mokka X 1.4 T Elite S&S,Dąbrowa Górnicza,Benzyna,2017,68900,113000,1364,Opel,Mokka
MINI Clubman Cooper JCW,Podegrodzie,Benzyna,2008,32900,210000,1598,MINI,0
Renault Trafic,Bogoria Skotnicka,Diesel,2013,69900,226288,1995,Renault,Trafic
Audi A4 35 TFSI mHEV S Line S tronic,Lipce Reymontowskie,Benzyna,2021,139600,80900,1984,Audi,A4
Nissan Qashqai 1.6 Tekna,Warszawa,Benzyna,2008,28800,134700,1598,Nissan,Qashqai
Nissan Qashqai 1.6 Tekna,Niwy,Benzyna,2009,34900,123758,1598,Nissan,Qashqai
Toyota Avensis,Darłowo,Diesel,2016,53000,122000,1598,Toyota,Avensis
Kia Sportage 1.6 T-GDI PHEV Business Line 4WD,Długołęka,Hybryda,2023,231800,9,1598,Kia,Sportage
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,175536,1,1984,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,178071,1,1984,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,181170,1,1984,DS,0
Cupra Formentor 1.5 TSI DSG,Chorzów,Benzyna,2023,168900,1,1498,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,181600,1,1984,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,183060,1,1984,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,171650,1,1984,DS,0
Cupra Formentor 1.5 TSI DSG,Chorzów,Benzyna,2023,164900,1,1498,DS,0
Cupra Formentor 1.5 TSI DSG,Chorzów,Benzyna,2023,158900,1,1498,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,175150,1,1984,DS,0
Cupra Formentor 2.0 TSI 4Drive DSG,Chorzów,Benzyna,2023,179000,1,1984,DS,0
Opel Astra GTC 1.6 Selection,Wolbrom,Benzyna,2008,15900,185000,1598,Opel,Astra
Ford S-Max 2.0 TDCi Titanium,Wejherowo,Diesel,2011,34450,272935,1997,Ford,0
Volvo V50 2.0D DPF Momentum,Ryki,Diesel,2005,12500,180000,1998,Volvo,V50
Volkswagen Golf Plus,Zgorzelec,Diesel,2010,30000,121000,1598,Volkswagen,Golf
Ford S-Max 2.0 TDCi Titanium,Kamieńsk,Diesel,2011,42000,290000,1997,Ford,0
Mercedes-Benz SLC 300 9G-Tronic,Warszawa,Benzyna,2016,138900,81662,1991,Mercedes-Benz,0
Toyota Avensis,Elbląg,Benzyna,2009,37900,170000,1798,Toyota,Avensis
Audi A5 1.4 TFSI S tronic,Grójec,Benzyna,2018,99999,110000,1395,Audi,A5
Opel Zafira 2.0 CDTI Cosmo,Płock,Diesel,2012,31900,225000,1956,Opel,Zafira
Volvo V90 Cross Country B5 B AWD Pro,Mińsk Mazowiecki,Benzyna,2020,245000,68500,1969,Volvo,V90
Suzuki Swift 1.3 Limited 25,Niwy,Benzyna,2008,19800,176478,1328,Suzuki,Swift
Volkswagen Passat 2.0 TDI Elegance DSG,Wrocław,Diesel,2020,129900,98120,1968,Volkswagen,Passat
Ford Fiesta 1.0 EcoBoost mHEV ST-Line,Bydgoszcz,Benzyna,2019,66000,45000,998,Ford,Fiesta
Audi A8 4.0 TFSI Quattro,Chojnice,Benzyna,2013,120000,190000,3993,Audi,A8
BMW Seria 3 330xd,Rzeszów,Diesel,2006,32000,220000,2993,BMW,Seria 3
Kia XCeed,Bydgoszcz,Benzyna,2021,108000,11400,1482,Kia,0
Mercedes-Benz W124 (1984-1993),Wrocław,Benzyna,1989,42000,220000,3000,Mercedes-Benz,0
Volvo V90 Cross Country B5 B AWD Pro,Mińsk Mazowiecki,Benzyna,2020,245000,61350,1969,Volvo,V90
Volvo V50 1.6D DRIVe,Konstantynów Łódzki,Diesel,2010,16849,287350,1560,Volvo,V50
Opel Corsa 1.4 16V Cosmo,Katowice,Benzyna,2011,18500,186000,1398,Opel,Corsa
Citroën Berlingo 1.6 HDi Multispace Euro5,Jenin,Diesel,2013,35500,124887,1560,Citroën,Berlingo
BMW M3,Kolonia Lesznowola,Benzyna,2004,99900,160000,3246,BMW,M3
Nissan Qashqai,Chorzów,Benzyna,2022,119900,15000,1332,Nissan,Qashqai
Volvo C40 Recharge Plus,Warszawa,Elektryczny,2023,265000,1,1991,Volvo,0
Mercedes-Benz Klasa A 220 4-Matic 7G-DCT,Ociąż,Benzyna,2023,201683,1,1995,Mercedes-Benz,0
BMW Seria 2 220d xDrive M Sport,Baranowo,Diesel,2020,164700,68613,998,BMW,Seria 2
Toyota Aygo,Warszawa,Benzyna,2006,9200,214799,2995,Toyota,Aygo
Audi A1 1.2 TFSI Admired Edition,Żywocice,Benzyna,2012,36999,62000,5654,Audi,A1
Dodge RAM 1500 5.7 4x4,Raszyn,Benzyna,2016,185000,107130,1968,Dodge,0
Skoda Superb 2.0 TDI Platinum,Rzeszów,Diesel,2008,16600,269676,1995,Skoda,Superb
Audi A6 40 TDI mHEV Quattro Sport S tronic,Łódź,Diesel,2019,189900,100690,1991,Audi,A6
Mercedes-Benz Klasa E 300 AMG,Olsztyn,Hybryda,2021,259000,37000,1798,Mercedes-Benz,0
Toyota C-HR,Warszawa,Hybryda,2023,159267,1,,Toyota,C-HR
Alfa Romeo 159 2.4 JTDM 20V DPF Elegante,Rzeszów,Diesel,2006,14900,259000,2387,Alfa Romeo,0
Toyota C-HR 1.8 Hybrid GPF GR Sport,Warszawa,Benzyna,2023,154390,1,1798,Toyota,C-HR
Toyota Corolla 1.5 Comfort MS,Warszawa,Benzyna,2022,123000,1,1490,Toyota,Corolla
Toyota Corolla 1.5 Comfort MS,Warszawa,Benzyna,2022,121500,1,1490,Toyota,Corolla
BMW Seria 3 320d xDrive MHEV M Sport sport,Wrocław,Diesel,2021,189000,45500,1995,BMW,Seria 3
Toyota Auris,Warszawa,Hybryda,2018,72500,199000,1798,Toyota,Auris
Renault Laguna,Jaworzno,Benzyna+LPG,2007,23000,213000,1997,Renault,Laguna
Audi Q3 40 TFSI Quattro S Line S tronic,Łódź,Benzyna,2019,164900,15215,1984,Audi,Q3
Toyota C-HR 1.8 Hybrid GPF Comfort,Warszawa,Benzyna,2023,127690,1,1798,Toyota,C-HR
BMW Seria 5 530d xDrive,Bydgoszcz,Diesel,2009,44900,219725,2993,BMW,Seria 5
Mazda CX-5 2.5 Skypassion AWD,Ropczyce,Benzyna,2018,119998,74999,2488,Mazda,CX-5
Skoda Yeti 2.0 TDI DPF Active,Lidzbark Warmiński,Diesel,2011,32900,220000,1968,Skoda,Yeti
Mercedes-Benz Klasa E 200 Coupe 4-Matic 9G-TRONIC,Słupsk,Benzyna,2020,248000,46800,1991,Mercedes-Benz,0
Nissan Juke,Bytom,Hybryda,2023,132500,10,1598,Nissan,Juke
Opel Vectra 1.9 CDTI Comfort,Poręba,Diesel,2006,13900,210000,1910,Opel,Vectra
Skoda Scala 1.5 TSI Ambition,Warszawa,Benzyna,2023,106000,1,1498,Skoda,Scala
Cupra Formentor 2.0 TSI 4Drive DSG,Warszawa,Benzyna,2023,163687,10,1984,DS,0
Cupra Formentor 1.5 TSI DSG,Warszawa,Benzyna,2023,145117,10,1498,DS,0
Kia Ceed 1.6 CRDi mHEV Business Line,Nowy Tomyśl,Diesel,2021,64900,40000,1598,Kia,Ceed
Volkswagen Passat 2.0 TDI Comfortline,Łuków,Diesel,2008,18900,299000,1968,Volkswagen,Passat
Toyota Corolla,Łódź,Hybryda,2019,97500,33000,1798,Toyota,Corolla
Cupra Formentor 2.0 TSI 4Drive DSG,Warszawa,Benzyna,2023,174512,1,1984,DS,0
Audi A3 2.0 TDI Ambition,Biele,Diesel,2014,53600,251000,1968,Audi,A3
Mercedes-Benz CLA 200 7G-DCT AMG Line,Leszno,Benzyna,2016,89900,135138,1595,Mercedes-Benz,0
Audi Q5 2.0 TFSI Quattro Tiptronic,Lublin,Benzyna,2016,85000,77000,1984,Audi,Q5
