Nazwa,Lokalizacja,Paliwo,Rok,Cena,Przebieg,Pojemnosc,marka,model
Tesla Model S Long Range Plus,Białobrzegi,Elektryczny,2018,195000,61520,1997,Pozostałe,0
Ford Mondeo 2.0 TDCi Edition,Wrocław,Diesel,2017,58990,277600,1584,Ford,Mondeo
Mitsubishi Lancer Kombi 1.6 Invite,Wejherowo,Benzyna+LPG,2008,7990,228000,1995,Mitsubishi,Lancer
BMW Seria 5 520d Touring Luxury Line,Stary Szelków,Diesel,2011,53990,170650,1599,BMW,Seria 5
BMW Seria 1,Sieradz,Benzyna,2008,16800,156100,6162,BMW,Seria 1
Chevrolet Camaro 6.2 V8 Coupe,Warszawa,Benzyna,2014,119900,26000,1997,Chevrolet,0
Ford Mondeo 2.0 TDCi Ambiente,Wrocław,Diesel,2014,21900,334394,1197,Ford,Mondeo
Kia Stonic 1.2 L Business Line,Chorzów,Benzyna,2023,88600,1,1998,Kia,Stonic
Mazda CX-5 2.0 Skymotion 2WD,Długołęka,Benzyna,2017,99999,51903,1598,Mazda,CX-5
Skoda Octavia,Mińsk Mazowiecki,Diesel,2018,39900,155000,1999,Skoda,Octavia
Skoda Octavia 2.0 TDI SCR Ambition DSG,Żelazowa Wola,Diesel,2019,55700,188000,2792,Skoda,Octavia
Saab 9-3 2.8 Turbo V6 Sport-Kombi Aero XWD,Wrocław,Benzyna,2008,31000,206000,3982,Saab,9-3
Opel Astra 1.6 Turbo Sports Tourer Automatik Design Edition,Starogard Gdański,Benzyna,2013,35700,102000,1598,Opel,Astra
Volkswagen Passat 1.6 TDI BlueMotion Technology Business Edition,Czermno,Diesel,2010,23800,272500,1798,Volkswagen,Passat
Skoda Yeti 1.8 TSI 4x4 Adventure,Żyrardów,Benzyna,2011,23300,229500,2993,Skoda,Yeti
BMW Seria 5,Kraków,Diesel,2007,20000,298000,2776,BMW,Seria 5
Lancia Voyager 2.8CRD Platinum,Bydgoszcz,Diesel,2014,78597,235000,,Lancia,Voyager
Audi Q4,Chorzów,Elektryczny,2023,181400,1,1870,Audi,0
Renault Scenic RX4 1.9 dCi Privilege,Wejherowo,Diesel,2003,4990,249000,1968,Renault,Scenic
Skoda Octavia,Łódź,Diesel,2023,185800,5,1998,Skoda,Octavia
Nissan Almera,Lipie Góry,Diesel,2005,5900,138051,6162,Nissan,Almera
Mitsubishi Outlander 2.0 Instyle Navi 4WD CVT,Lipnik,Benzyna,2016,82000,117951,2487,Mitsubishi,Outlander
Chevrolet Camaro 6.2 V8 Coupe,Tarnów,Benzyna,2010,94500,203000,3993,Chevrolet,0
Lexus NX 350h Business AWD,Katowice,Benzyna,2023,234444,1,1591,Lexus,0
Audi S7 4.0 TFSI Quattro S tronic,Gdańsk,Benzyna,2014,135000,126000,4999,Audi,S7
Kia Sportage 1.6 T-GDI Business Line 4WD DCT,Gubin,Benzyna,2016,92500,137200,999,Kia,Sportage
Land Rover Discovery,Kutno,Benzyna,2013,128000,199900,1332,Rover,Discovery
Renault Clio 1.0 TCe Equilibre,Bydgoszcz,Benzyna+LPG,2023,73700,10,1598,Renault,Clio
Renault Austral 1.3 TCe mHEV Techno Esprit Alpine,Bydgoszcz,Benzyna,2023,166000,10,1984,Renault,0
Skoda Octavia 1.6 TDI Ambition,Komorniki,Diesel,2018,61000,79821,1591,Skoda,Octavia
Volkswagen Golf V 2.0 TSI GTI,Trzebnica,Benzyna,2006,25900,298000,1991,Volkswagen,Golf
Hyundai Tucson 1.6 GDI BlueDrive Classic 2WD,Toruń,Benzyna,2017,72000,197000,1753,Hyundai,Tucson
Mercedes-Benz CLA 250 Sport,Kraków,Benzyna,2016,102000,110000,1968,Mercedes-Benz,0
Ford Focus 1.8 TDCi Titanium,Wejherowo,Diesel,2010,5990,248000,2993,Ford,Focus
Volkswagen Multivan,Stadniki,Diesel,2018,145000,147256,1997,Volkswagen,Multivan
Citroën SpaceTourer 2.0 BlueHDi XL Feel,Rzeszów,Diesel,2018,135500,101744,1364,Citroën,0
Ford Tourneo Connect Grand,Radom,Benzyna,2023,168900,1,2987,Ford,Tourneo
Opel Meriva 1.4 Cosmo,Gorzów Wielkopolski,Benzyna+LPG,2005,6700,225000,2967,Opel,Meriva
Mercedes-Benz GLE Coupe 350 d 4-Matic,Leszno,Diesel,2015,165000,208000,1998,Mercedes-Benz,0
Audi A6 Avant 3.0 TDI quattro S tronic,Dąbrowa Górnicza,Diesel,2015,99999,169000,1500,Audi,A6
Volkswagen T-Roc,Częstochowa,Benzyna,2023,144300,1,998,Volkswagen,T-Roc
Alfa Romeo Stelvio 2.0 Turbo Veloce Q4,Opole,Benzyna,2022,249900,1500,2987,Alfa Romeo,0
Toyota Aygo 1.0 VVT-i Sol,Głogów,Benzyna,2007,14500,149000,5000,Toyota,Aygo
Mercedes-Benz GLE 350 d 4-Matic,Łomianki,Diesel,2017,200000,86000,1598,Mercedes-Benz,0
Ford F150,Wrocław,Benzyna,2016,177000,143000,,Ford,0
Fiat Tipo 1.6 MultiJet Cross,Opole,Diesel,2021,79000,46000,,Fiat,Tipo
Jeep Renegade,Opole,Hybryda,2022,127900,1,1332,Jeep,Renegade
Mercedes-Benz Klasa V 250 (BlueTEC) d Avantgarde 7G-Tronic,Głogów,Diesel,2014,178900,122000,2143,Mercedes-Benz,0
Volvo XC 60 D4 Drive-E Momentum,Wrocław,Diesel,2014,83000,108000,1969,Volvo,0
Skoda Citigo 1.0 Ambition EU6,Klaudyn,Benzyna,2016,26000,87800,999,Skoda,Citigo
Audi A5 40 TFSI mHEV Quattro S Line S tronic,Chorzów,Benzyna,2023,264000,1,1984,Audi,A5
Mercedes-Benz GLA 200 Business Edition,Suwałki,Benzyna,2020,180000,33000,1332,Mercedes-Benz,0
Kia Sportage 1.6 T-GDI Business Line 4WD DCT,Podańsko,Benzyna,2017,90500,104200,1591,Kia,Sportage
Toyota RAV4 2.5 Hybrid Comfort 4x2,Warszawa,Benzyna,2023,180462,1,2487,Toyota,RAV4
Toyota Yaris Cross Hybrid 1.5 Executive 4x4,Warszawa,Benzyna,2023,144673,1,1490,Toyota,Yaris
Dodge Challenger 6.4 Scat Pack,Warszawa,Benzyna,2022,265000,6400,6417,Dodge,0
Ford Mondeo 1.8 Ambiente,Wejherowo,Benzyna,2006,2500,248000,1798,Ford,Mondeo
Audi A6 3.0 TFSI Quattro S tronic,Lublin,Benzyna,2011,56500,251000,2995,Audi,A6
"Dodge Durango 3,6 Limited",Siedlce,Benzyna,2014,89000,217000,3604,Dodge,Durango
BMW X6 35i xDrive,Lublin,Benzyna+LPG,2011,87000,225000,2979,BMW,X6
Seat Ateca 1.5 TSI Xperience S&S DSG,Łódź,Benzyna,2023,160900,5,1498,Seat,Ateca
Seat Leon 1.5 eTSI Xcellence DSG,Łódź,Benzyna,2023,151500,5,1498,Seat,Leon
Volkswagen Arteon,Łódź,Benzyna,2023,237300,5,1984,Volkswagen,Arteon
Seat Ateca,Łódź,Benzyna,2023,186200,5,1984,Seat,Ateca
Volkswagen Passat 2.0 TSI Elegance DSG,Łódź,Benzyna,2023,179500,5,1984,Volkswagen,Passat
Volkswagen Golf IV 1.4 Trendline,Sopot,Benzyna,2002,7800,280000,1390,Volkswagen,Golf
Ford Focus 2.5 ST,Morąg,Benzyna,2007,33900,207115,2521,Ford,Focus
BMW Seria 3 320i,Łódź,Benzyna,2023,247400,5,1998,BMW,Seria 3
Opel Vectra,Zwoleń,Diesel,2008,11700,320000,1900,Opel,Vectra
Suzuki SX4 1.6 Explore 4WD,Białystok,Benzyna,2012,30900,227000,1586,Suzuki,SX4
Volkswagen Golf 2.0 TDI SCR DSG Highline,Płock,Diesel,2020,99700,150000,1968,Volkswagen,Golf
Peugeot 508 BlueHDi 120 EAT6 Stop&Start Allure,Konin,Diesel,2018,51900,144500,1560,Peugeot,508
Skoda Karoq 1.5 TSI ACT Style DSG,Łódź,Benzyna,2023,148800,5,1498,Skoda,Karoq
Skoda Karoq 2.0 TSI 4x4 Sportline DSG,Łódź,Benzyna,2023,193100,5,1984,Skoda,Karoq
Skoda Octavia,Łódź,Benzyna,2023,147100,5,1498,Skoda,Octavia
BMW Seria 1 118d,Nowy Sącz,Diesel,2018,67896,25414,1995,BMW,Seria 1
MINI Clubman One,Lusówko,Benzyna,2019,92900,13582,1499,MINI,0
Skoda Superb 2.0 TSI 4x4 Sportline DSG,Łódź,Benzyna,2023,220500,5,1984,Skoda,Superb
Skoda Kamiq 1.0 TSI Style,Łódź,Benzyna,2023,111400,5,999,Skoda,Kamiq
Skoda Enyaq 60 Clever,Łódź,Elektryczny,2022,236000,5,1995,Skoda,0
BMW Seria 3 320i,Tomaszów Lubelski,Benzyna,2007,20500,282324,1498,BMW,Seria 3
Volkswagen Tiguan 1.5 TSI EVO R-Line DSG,Łódź,Benzyna,2023,207500,5,5461,Volkswagen,Tiguan
Mercedes-Benz Klasa S 500 L 7G-TRONIC,Modrzyca,Benzyna,2005,69000,276000,1498,Mercedes-Benz,0
Cupra Leon 1.5 eTSI DSG,Łódź,Benzyna,2023,164800,5,1968,DS,0
Audi Q5 40 TDI mHEV Quattro Advanced S tronic,Sosnowiec,Diesel,2023,223000,5,1339,Audi,Q5
Honda Jazz 1.4 Elegance,Kaszewiec,Benzyna,2014,34500,193000,2143,Honda,Jazz
Mercedes-Benz GLC 220 d 4-Matic,Łomża,Diesel,2017,149900,60400,647,Mercedes-Benz,0
BMW i3 (Range Extender),Świdnik,Hybryda,2016,92000,75000,4948,BMW,0
Ford F150,Łomża,Benzyna,2015,159000,100000,1498,Ford,0
Cupra Leon 1.5 TSI,Łódź,Benzyna,2023,142000,5,999,Cupra,0
Nissan Juke,Chorzów,Benzyna,2021,90900,24000,1598,Nissan,Juke
BMW i3,Świdnik,Elektryczny,2016,92000,75000,2967,BMW,0
Citroën C5X,Chorzów,Benzyna,2022,160500,7000,1598,Citroën,C5
Citroën C5X,Chorzów,Benzyna,2022,170000,1,1591,Citroën,C5
Skoda Octavia 1.6 TDI Ambition,Łódź,Diesel,2018,52900,167000,1685,Skoda,Octavia
Kia Sportage,Przytyk,Benzyna,2021,106900,33000,898,Kia,Sportage
Hyundai ix35 1.7 CRDi Premium 2WD,Jędrzejów,Diesel,2013,25500,190000,1968,Hyundai,ix35
Renault Twingo,Chodzież,Benzyna,2019,35000,32640,999,Renault,Twingo
Audi A5 2.0 TDI ultra,Koniecpol,Diesel,2014,75900,157000,8357,Audi,A5
Skoda RAPID,Gdańsk,Benzyna,2019,52000,70000,2979,Skoda,0
BMW Seria 6 640i xDrive Gran Coupe,Lublin,Benzyna,2014,108000,227000,1598,BMW,Seria 6
Audi Q4 Sportback e-tron 40,Częstochowa,Elektryczny,2022,229000,4900,1596,Audi,0
Jeep Compass,Chorzów,Hybryda,2022,214000,3000,1360,Jeep,Compass
MINI Cooper,Gorzów Wielkopolski,Benzyna,2008,18800,150200,3982,MINI,0
Ford Mondeo 1.6 Silver X,Pyrzowice,Benzyna,2009,21500,250000,,Ford,Mondeo
Peugeot 207 1.4 Trendy,Gostynin,Benzyna,2007,12900,178000,,Peugeot,207
Porsche Macan Turbo,Libiąż,Benzyna,2014,159900,156000,3604,Porsche,Macan
Ford C-MAX 1.6 TDCi DPF Titanium,Czarny Bór,Diesel,2010,24500,198521,1560,Ford,C-MAX
Mercedes-Benz CLA 45 AMG 4-Matic,Podwilk,Benzyna,2013,95000,150000,1991,Mercedes-Benz,0
Ford Mondeo,Nowe Warpno,Diesel,2007,18100,181000,1997,Ford,Mondeo
Skoda Kodiaq 2.0 TSI 4x4 Business DSG,Bramki,Benzyna,2019,128758,110000,1984,Skoda,Kodiaq
Renault Megane 1.2 16V TCe Energy Life,Wrocław,Benzyna,2015,26800,195000,1197,Renault,Megane
Chevrolet Corvette 6.0 V8,Warszawa,Benzyna,2006,139000,56000,5967,Chevrolet,0
Audi A4 Avant 2.0 TDI S tronic,Łódź,Diesel,2017,93000,168436,1968,Audi,A4
Volvo XC 60 T5 AWD Kinetic,Świdnica,Benzyna+LPG,2015,79900,217500,2497,Volvo,0
Volvo V40 D4 Drive-E Inscription,Kłodzko,Diesel,2017,64000,222000,1969,Volvo,V40
Volkswagen Passat,Wolica,Benzyna,2023,168500,1,1498,Volkswagen,Passat
Volkswagen ID.3,Wolica,Elektryczny,2023,190300,1,1968,Volkswagen,0
Volkswagen Touran 2.0 TDI BMT Highline DSG,Łódź,Diesel,2022,172900,24237,1362,Volkswagen,Touran
Opel Astra 1.4 Turbo Automatik Active,Oświęcim,Benzyna,2013,33900,124000,999,Opel,Astra
Fiat 500 1.0 Hybrid,Nakło Śląskie,Benzyna,2021,49800,22413,1969,Fiat,500
Volvo XC 60,Gdynia,Diesel,2019,164900,86614,1461,Volvo,0
Nissan Qashqai 1.5 dCi Visia EU6,Lipno,Diesel,2018,75900,61000,1598,Nissan,Qashqai
Renault Espace Energy dCi 160 EDC LIMITED,Korytów A,Diesel,2015,67900,116000,1598,Renault,Espace
Dacia Duster 1.6 Laureate 4x4,Sochaczew,Benzyna+LPG,2015,39999,213000,1332,Dacia,Duster
Mercedes-Benz CLA 200 AMG Line 7G-DCT,Tarnowskie Góry,Benzyna,2020,149500,72630,1995,Mercedes-Benz,0
Ford Mondeo 2.0 TDCi Titanium,Bogatki,Diesel,2016,49900,243200,2967,Ford,Mondeo
BMW Seria 3 320d,Ciechocinek,Diesel,2009,29900,205000,1498,BMW,Seria 3
Audi A6 Avant 3.0 TDI DPF quattro S tronic,Sochaczew,Diesel,2011,59900,296000,1984,Audi,A6
Volkswagen Golf VIII 1.5 TSI EVO Life,Rzeszów,Benzyna,2021,101900,55,2148,Volkswagen,Golf
Volkswagen Arteon 2.0 TSI R-Line DSG,Rzeszów,Benzyna,2023,229900,5,1798,Volkswagen,Arteon
Volkswagen Passat 1.8 TSI BMT Comfortline DSG,Łódź,Benzyna,2017,77900,124000,1968,Volkswagen,Passat
Audi Q5 40 TDI mHEV Quattro Advanced S tronic,Kamienica,Diesel,2023,248970,394,,Audi,Q5
Volkswagen Passat 2.0 TDI BMT SCR 4Mot Highline DSG7,Łączki Kucharskie,Diesel,2018,33900,146884,,Volkswagen,Passat
Subaru Legacy SW 2.5 GX 4x4,Bolesławiec,Benzyna,2000,15500,218000,2457,Subaru,Legacy
Volvo XC 60,Łosice,Benzyna+LPG,2013,55000,179000,3192,Volvo,0
Audi A6,Pruszków,Diesel,2004,5200,3500,2500,Audi,A6
Jeep Grand Cherokee Gr 5.2 Limited,Elbląg,Benzyna,1993,19500,170000,5210,Jeep,0
Renault Scenic 1.5 dCi Expression,Wrocław,Diesel,2012,23800,163000,1461,Renault,Scenic
Mercedes-Benz Klasa A 210 L Evolution,Ostrów Mazowiecka,Benzyna,2002,12500,93856,2084,Mercedes-Benz,0
Volkswagen Transporter,Elbląg,Diesel,2016,114900,141000,1968,Volkswagen,Transporter
Opel Insignia,Szamotuły,Diesel,2012,29000,246879,1956,Opel,Insignia
Volkswagen Tiguan 2.0 TDI DPF 4Motion Track & Style,Biała Podlaska,Diesel,2011,39600,322000,1968,Volkswagen,Tiguan
Volkswagen Golf Plus,Lidzbark Warmiński,Benzyna,2005,14800,198000,1598,Volkswagen,Golf
Nissan X-Trail,Wojnowice,Diesel,2016,78000,110000,1598,Nissan,X-Trail
Hyundai Tucson,Żabno,Diesel,2020,99999,39000,1600,Hyundai,Tucson
BMW Seria 3 320d Edition M Sport Shadow,Legnica,Diesel,2015,70700,168500,1995,BMW,Seria 3
Ford EDGE,Białystok,Benzyna+LPG,2020,144600,62400,2694,Ford,0
Opel Astra IV 1.6 T Sport,Dębica,Benzyna+LPG,2010,29500,223264,1598,Opel,Astra
Audi S5,Łódź,Diesel,2020,239900,59734,2967,Audi,S5
Volvo V70,Krasnystaw,Benzyna,2007,19900,242400,2435,Volvo,V70
Audi A5,Łódź,Benzyna,2017,144900,131500,1984,Audi,A5
BMW 6GT 620d xDrive M Sport sport,Chełm,Diesel,2018,192201,137844,1995,BMW,0
Opel Astra 1.4 Turbo ENERGY,Starachowice,Benzyna,2014,35900,56000,1364,Opel,Astra
Chevrolet Captiva 2.0 d LT high (deu),Gniezno,Diesel,2007,25999,229000,1991,Chevrolet,Captiva
Peugeot 206 1.4 XT,Poznań,Benzyna,2004,8300,147000,1360,Peugeot,206+
Peugeot 3008 2.0 BlueHDi GT S&S EAT8,Koszalin,Diesel,2019,129000,62000,1997,Peugeot,3008
Volkswagen Golf Sportsvan VII SV 1.4 TSI BMT Highline,Kielce,Benzyna,2017,65500,136000,1395,Volkswagen,Golf
Renault Scenic dCi 150 Automatik Bose Edition,Korytów A,Diesel,2012,29900,181000,1995,Renault,Scenic
BMW Seria 5,Stanin,Diesel,2012,64900,250000,1995,BMW,Seria 5
Kia Venga 1.4 M,Nadarzyn,Benzyna,2012,29900,176850,1396,Kia,Venga
Kia Ceed,Nowa Sól,Benzyna,2013,44900,112644,1591,Kia,Ceed
Opel Astra,Gniezno,Benzyna,2009,22999,169500,1598,Opel,Astra
MINI ONE Standard,Wieluń,Benzyna,2008,14900,140000,1397,MINI,0
Audi A4 3.0 TDI Quattro S tronic,Brodnica,Diesel,2014,66000,268000,2967,Audi,A4
BMW Seria 3 318i,Warszawa,Benzyna,2008,19999,220000,1995,BMW,Seria 3
Ford Focus 1.8 FF Trend,Bielsko-Biała,Benzyna+LPG,2008,17990,218366,1798,Ford,Focus
Ford S-Max 2.0 EcoBlue Twin-Turbo ST-Line,Gorzów Wielkopolski,Diesel,2019,105000,130000,1997,Ford,0
Peugeot 3008 1.6 HDi Active,Turkowice,Diesel,2011,12700,224000,1560,Peugeot,3008
Renault Megane,Gliwice,Benzyna,2022,185500,12400,1798,Renault,Megane
Ford Fiesta 1.25 Trend,Głogów,Benzyna,2011,17500,133000,1242,Ford,Fiesta
Citroën C3 1.4 16V Exclusive,Głogów,Benzyna,2010,16900,181000,1360,Citroën,C3
Toyota Auris,Zabrze,Diesel,2007,18500,116006,1995,Toyota,Auris
Volkswagen Golf,Gostynin,Benzyna,2008,29900,173000,1595,Volkswagen,Golf
Mazda CX-3,Jerzmanowice,Benzyna,2018,84700,113000,1998,Mazda,CX-3
BMW Z4 sDrive28i,Gdańsk,Benzyna,2014,124999,93000,1997,BMW,Z4
Porsche 911,Warszawa,Benzyna,2002,169996,151500,3596,Porsche,911
Skoda Octavia 2.0 TDI RS DSG,Radzymin,Diesel,2021,143400,188450,1968,Skoda,Octavia
Ford Focus 2.0 Titanium,Resko,Benzyna,2005,11500,269209,1999,Ford,Focus
Peugeot 206 2.0 HDI XT,Nowy Sącz,Diesel,2002,6000,303000,1997,Peugeot,206+
Ford Focus 1.0 EcoBoost Titanium ASS,Piaseczno,Benzyna,2018,69000,55886,999,Ford,Focus
Toyota RAV4,Serock,Hybryda,2016,96900,160000,2494,Toyota,RAV4
Audi A6 2.0 TDI ultra S tronic,Zgorzelec,Diesel,2014,85000,134000,1968,Audi,A6
Audi Q5 2.0 TDI Quattro S tronic,Kargowa,Diesel,2010,68000,300000,1968,Audi,Q5
BMW Seria 5 530d xDrive Touring,Warszawa,Diesel,2013,34900,84500,2993,BMW,Seria 5
Citroën C2 1.4 VTR Senso Drive,Warszawa,Benzyna,2003,10000,178000,1360,Citroën,C2
Mercedes-Benz Klasa E,Łódź,Diesel,2023,259000,6,1950,Mercedes-Benz,0
Suzuki Grand Vitara 1.9 DDiS De luxe,Jaworzno,Diesel,2007,31999,222159,1870,Suzuki,0
Hyundai IONIQ,Katowice,Hybryda,2018,84000,60349,1580,Hyundai,0
Peugeot Partner,Osiniec,Diesel,2017,38900,199000,1560,Peugeot,Partner
Renault Kadjar 1.2 Energy TCe Intens,Wejherowo,Benzyna,2016,56000,100130,1197,Renault,Kadjar
Abarth 595,Sosnowiec,Benzyna,2019,76000,60750,1368,Pozostałe,0
BMW Seria 7 740i,Syców,Benzyna,1997,58500,324120,4398,BMW,Seria 7
Dodge RAM 1500 5.7 4x4,Chojnice,Benzyna+LPG,2021,259999,29300,5654,Dodge,0
Mazda 5 1.8 Comfort,Legnica,Benzyna,2011,28900,161000,1798,Mazda,5
BMW Seria 3 320i Touring Advantage,Goleniów,Benzyna,2020,69799,44531,1998,BMW,Seria 3
Peugeot iOn,Pabianice,Elektryczny,2019,49900,14500,1390,Peugeot,0
Volkswagen Scirocco 1.4 TSI,Szczecin,Benzyna,2009,27500,201000,1560,Volkswagen,Scirocco
Peugeot 3008 1.6 HDi Premium,Jasło,Diesel,2009,26500,167500,1242,Peugeot,3008
Suzuki Swift 1.2 4x4 Club,Ornontowice,Benzyna,2011,22140,242000,1799,Suzuki,Swift
Honda Civic,Zielonka,Benzyna,2006,13500,217000,2999,Honda,Civic
BMW Seria 5 530d xDrive Luxury Line,Janów Lubelski,Diesel,2017,159000,97500,1461,BMW,Seria 5
Mercedes-Benz Klasa A 180 d Style,Goleniów,Diesel,2019,49799,79993,1498,Mercedes-Benz,0
Ford Focus 1.5 TDCi SYNC Edition,Rzeszów,Diesel,2018,39800,156000,3600,Ford,Focus
Chevrolet Camaro 3.6 V6 Coupe 2LT,Staszów,Benzyna,2016,118000,129000,1998,Chevrolet,0
BMW Seria 5 530e iPerformance xDrive,Grodzisk Mazowiecki,Hybryda,2020,179000,54000,1969,BMW,Seria 5
Volvo XC 90 T8 AWD Twin Engine Geartronic RDesign,Białystok,Hybryda,2016,158055,285000,1498,Volvo,0
Volkswagen Golf Variant 1.5 TSI OPF R-Line,Sieraków,Benzyna,2019,49900,99800,1560,Volkswagen,Golf
Ford Fiesta 1.6 TDCi Econetic Start-Stopp-System Trend,Skawina,Diesel,2013,26250,180500,2685,Ford,Fiesta
Samochód osobowy,Kroczyce,Elektryczny,2019,19700,1,1995,Pozostałe,0
Suzuki Grand Vitara 2.0,Prabuty,Benzyna+LPG,2006,22000,326000,1798,Suzuki,0
Opel Astra 1.4 ECOFLEX 150 Jahre,Twardogóra,Benzyna,2012,27500,151200,1968,Opel,Astra
Skoda Superb,Orzysz,Benzyna,2010,31000,230000,1968,Skoda,Superb
Audi A4 Avant 2.0 TDI DPF Ambiente,Skomielna Czarna,Diesel,2013,40000,264000,1598,Audi,A4
Audi A4 40 TDI Quattro S Line S tronic,Pawłowice,Diesel,2019,106900,159000,1968,Audi,A4
Toyota Corolla 1.6 Sol,Jastrzębie-Zdrój,Benzyna,2010,28900,159000,2773,Toyota,Corolla
Audi A3,Sieroszewice,Diesel,2013,38000,197808,,Audi,A3
Audi A6,Żary,Benzyna,2008,22000,344000,,Audi,A6
Skoda Superb,Orzysz,Benzyna,2010,31000,230000,1798,Skoda,Superb
Audi A4 Avant 2.0 TDI DPF Ambiente,Skomielna Czarna,Diesel,2013,40000,264000,1968,Audi,A4
Toyota Corolla 1.6 Sol,Jastrzębie-Zdrój,Benzyna,2010,28900,159000,1598,Toyota,Corolla
Audi A3,Sieroszewice,Diesel,2013,38000,197808,1968,Audi,A3
Audi A6,Żary,Benzyna,2008,22000,344000,2773,Audi,A6
Renault Clio dCi 75 Stop & Start Expression,Bolesławiec,Diesel,2013,19900,236000,1461,Renault,Clio
Peugeot 508 2.0 BlueHDi GT S&S EAT8,Mielec,Diesel,2019,110577,154000,1997,Peugeot,508
Mazda CX-5 SKYACTIV-D 150 AWD Exclusive-Line,Ostrów Mazowiecka,Diesel,2013,50900,166166,2191,Mazda,CX-5
Chevrolet Epica,Lublin,Benzyna+LPG,2006,14000,295203,1993,Chevrolet,Epica
Mitsubishi ASX 1.8 DID Invite AS&G,Tarnowo Podgórne,Diesel,2012,33500,212000,1798,Mitsubishi,ASX
Mazda CX-3,Kraków,Benzyna,2016,67000,73793,1998,Mazda,CX-3
Volkswagen Golf,Opole,Benzyna,2019,54900,51000,999,Volkswagen,Golf
Skoda Octavia,Kraków,Benzyna,2020,58500,105000,999,Skoda,Octavia
Volkswagen Golf,Opole,Benzyna,2019,47900,121000,999,Volkswagen,Golf
BMW Seria 5 520d xDrive Touring M Sport Edition,Dąbrowa Górnicza,Diesel,2017,144900,180775,1995,BMW,Seria 5
Volkswagen Tiguan,Katowice,Diesel,2013,70000,170233,1968,Volkswagen,Tiguan
Suzuki Celerio 1.0 Comfort,Rzeszów,Benzyna,2015,16999,129000,998,Suzuki,Celerio
Mazda MX-30,Piaseczno,Elektryczny,2020,100000,14263,998,Mazda,MX-3
Toyota Yaris 1.0 Luna A/C,Choszczno,Benzyna,2007,13900,137600,2400,Toyota,Yaris
Volvo V70,Warszawa,Diesel,2014,74900,140000,1390,Volvo,V70
Volkswagen Jetta 1.4 TSI Comfortline,Imielin,Benzyna,2011,27500,334000,1794,Volkswagen,Jetta
Toyota Corolla Verso 1.8 Prestige + 7os MM,Szczecin,Benzyna,2008,25900,121300,1995,Toyota,Corolla
Subaru XV,Legionowo,Hybryda,2020,123000,23900,1800,Subaru,XV
Opel Insignia 1.8 Active,Stargard Szczeciński,Benzyna,2009,26700,131000,4134,Opel,Insignia
Audi A8 4.2 TDI Quattro,Gorzów Wielkopolski,Diesel,2011,85000,208000,1395,Audi,A8
Volkswagen Golf VII 1.4 TSI BMT ACT Highline DSG,Płock,Benzyna,2017,83640,73000,1991,Volkswagen,Golf
Mercedes-Benz Klasa B 180 CDI,Stargard Szczeciński,Diesel,2009,22700,220500,1598,Mercedes-Benz,0
Nissan Qashqai+2 1.6 dCi Acenta,Żywocice,Diesel,2013,45400,186000,1598,Nissan,Qashqai
Jeep Compass 1.6 MJD Limited FWD S&S,Ponikiew Duża,Diesel,2018,77900,130000,1498,Jeep,Compass
Volkswagen Passat 1.5 TSI EVO Business DSG,Puszcza Mariańska,Benzyna,2020,93800,90000,1968,Volkswagen,Passat
Volkswagen Passat 2.0 TDI BMT 4Mot Highline DSG,Będzin,Diesel,2018,125000,100800,,Volkswagen,Passat
Alfa Romeo Mito 1.4 MultiAir Progression S&S,Sanniki,Benzyna,2011,22000,155975,1368,Alfa Romeo,0
Opel Zafira 1.4 Turbo Business Edition,Bielawa,Benzyna+LPG,2015,54700,176000,1364,Opel,Zafira
Dodge Challenger,Krosno,Benzyna,2015,116500,164000,5700,Dodge,0
Volvo V90,Łódź,Diesel,2019,199000,85500,1969,Volvo,V90
Ford C-MAX 2.0 TDCi Titanium,Ostrów Mazowiecka,Diesel,2013,32900,188000,1997,Ford,C-MAX
Mazda 3 1.6 Exclusive EU5,Ostrów Mazowiecka,Benzyna,2012,29900,166000,1598,Mazda,3
Opel Astra IV 1.4 T Cosmo S&S EU6,Ostrów Mazowiecka,Benzyna,2014,38900,112733,1364,Opel,Astra
Toyota Yaris 1.8 VVT-i TS,Warszawa,Benzyna+LPG,2008,23000,265000,1798,Toyota,Yaris
Volkswagen Multivan,Poznań,Diesel,2005,59999,270071,2461,Volkswagen,Multivan
Mitsubishi ASX 1.8 DI-D 2WD Intro Edition,Chełmno,Diesel,2013,41900,190000,1798,Mitsubishi,ASX
Renault Megane,Poznań,Diesel,2012,27900,180000,1995,Renault,Megane
Peugeot Partner,Cisów,Benzyna,2010,26500,172000,1581,Peugeot,Partner
Volkswagen Golf VII 2.0 TDI BMT Comfortline,Żywocice,Diesel,2019,59040,198000,1968,Volkswagen,Golf
Hyundai ix35 2.0 CRDi Premium,Michałowice,Diesel,2010,39900,210400,1995,Hyundai,ix35
Audi A4 2.0 TFSI Multitronic,Poznań,Benzyna,2007,21900,258000,1984,Audi,A4
Mercedes-Benz Klasa A 180 CDI Avantgarde Special Edition,Jarocin,Diesel,2010,18900,189000,1991,Mercedes-Benz,0
Nissan Note 1.4 Acenta,Chełmno,Benzyna,2011,22900,159000,1386,Nissan,Note
Seat Leon 1.4 Sport Limited,Szczecin,Benzyna+LPG,2009,25000,205584,1390,Seat,Leon
