marka,model,pojemnosc.skokowa.silnika,rodzaj.paliwa,rodzaj.pierwszego.paliwa.alternatywnego,data.pierwszej.rejestracji,data.pierwszej.rejestracji.w.kraju,data.ostatniej.rejestracji.w.kraju,data.wprowadzenia.danych,rejestracja.wojewodztwo,rejestracja.gmina,rejestracja.powiat,moc.netto.silnika,masa.wlasna,poziom.emisji.co2,srednie.zuzycie.paliwa,rok_produkcji
VOLVO,XC90,2400,OLEJ NAPĘDOWY,"",2012-01-02,2012-01-02,2023-06-19,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,147,2117,219,,2011
PEUGEOT,BOXER,2198,OLEJ NAPĘDOWY,"",2008-01-08,2012-01-05,2023-06-21,"",DOLNOŚLĄSKIE,GÓRA,GÓROWSKI,74,2040,,,2007
VOLKSWAGEN,PASSAT,1896,OLEJ NAPĘDOWY,"",2003-01-20,2012-01-05,2023-06-14,"",DOLNOŚLĄSKIE,TRZEBNICA,TRZEBNICKI,74,1509,,,2003
VOLKSWAGEN,PASSAT,1781,BENZYNA,"",1998-09-28,2012-01-09,2023-06-13,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,110,1386,,,1998
OPEL,CORSA,998,BENZYNA,"",2012-01-10,2012-01-10,2023-06-01,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,48,1088,117,5,2011
LAND ROVER,RANGE ROVER,2497,OLEJ NAPĘDOWY,"",2000-07-06,2012-01-10,2023-06-05,"",DOLNOŚLĄSKIE,ZGORZELEC,ZGORZELECKI,100,2125,,,2000
MITSUBISHI,LANCER,1590,BENZYNA,"",2012-01-10,2012-01-10,2023-06-07,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,86,1300,132,,2011
TOYOTA,CELICA,1762,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),1997-01-31,2012-01-11,2023-06-02,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,85,1170,,,1997
TOYOTA,YARIS,1364,OLEJ NAPĘDOWY,"",2012-01-11,2012-01-11,2023-06-06,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,66,1090,104,,2011
LEXUS,IS 220D,2231,OLEJ NAPĘDOWY,"",2006-12-15,2012-01-12,2023-06-12,"",DOLNOŚLĄSKIE,GÓRA,GÓROWSKI,130,1660,,,2006
SKODA,FABIA,1598,OLEJ NAPĘDOWY,NIE DOTYCZY,2012-01-12,2012-01-12,2023-06-07,"",DOLNOŚLĄSKIE,OŁAWA,OŁAWSKI,55,1129,109,,2011
SEAT,TOLEDO,1896,OLEJ NAPĘDOWY,"",2003-10-08,2012-01-16,2023-06-05,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,66,1263,,,2003
FORD,FOCUS,1560,OLEJ NAPĘDOWY,"",2012-01-16,2012-01-16,2023-06-19,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,70,1287,117,,2011
SKODA,OCTAVIA,1390,BENZYNA,"",2012-01-17,2012-01-17,2023-06-09,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,90,1235,148,,2011
MERCEDES-BENZ,C 180,1998,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2001-10-12,2012-01-17,2023-06-14,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,95,1445,,,2001
FORD,MONDEO,1798,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2001-04-06,2012-01-19,2023-06-05,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,82,1431,,,2001
BMW,525D XDRIVE,1995,OLEJ NAPĘDOWY,"",2012-01-23,2012-01-23,2023-06-15,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,160,1720,140,,2011
OPEL,VECTRA 1.9 CDTI,1910,OLEJ NAPĘDOWY,"",2005-08-18,2012-01-24,2023-06-09,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,88,1530,,,2005
RENAULT,TWINGO,1149,BENZYNA,"",2000-12-21,2012-01-24,2023-06-12,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,43,895,,,2000
FIAT,PANDA 1.2 4X4,1242,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2005-05-23,2012-01-25,2023-06-13,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,44,965,,,2005
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",2003-12-01,2012-01-27,2023-06-01,"",DOLNOŚLĄSKIE,GŁOGÓW,GŁOGOWSKI,77,1362,,,2003
SKODA,OCTAVIA,1968,OLEJ NAPĘDOWY,"",2012-01-27,2012-01-27,2023-06-02,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,81,1335,129,,2012
BMW,528I,2793,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),1998-02-11,2012-01-31,2023-06-14,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,142,1655,,,1998
SEAT,LEON,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2004-02-27,2012-01-31,2023-06-21,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,77,1272,,,2003
OPEL,CORSA,1229,BENZYNA,"",2012-02-02,2012-02-02,2023-06-21,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,63,1088,129,,2011
VOLKSWAGEN,GOLF,1390,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2000-11-20,2012-02-03,2023-06-20,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,55,1204,,,2000
VOLKSWAGEN,PASSAT,1968,OLEJ NAPĘDOWY,"",2005-01-11,2012-02-06,2023-06-12,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,100,1564,,,2004
PEUGEOT,307,1587,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2001-11-27,2012-02-07,2023-06-20,"",DOLNOŚLĄSKIE,LEGNICA,LEGNICA,80,1251,,,2001
CHRYSLER,PT CRUISER,1996,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2002-04-29,2012-02-09,2023-06-16,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,104,1493,,,2002
TOYOTA,COROLLA,1598,BENZYNA,"",2012-02-10,2012-02-10,2023-06-16,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,97,1288,150,,2011
OPEL,VECTRA,1796,BENZYNA,"",2003-10-24,2012-02-10,2023-06-09,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,90,1375,,,2003
SUZUKI,VITARA,1590,BENZYNA,"",1992-12-01,2012-02-13,2023-06-09,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,71,1265,,,1992
BMW,318,1995,BENZYNA,"",2002-05-14,2012-02-14,2023-06-21,"",DOLNOŚLĄSKIE,MILICZ,MILICKI,105,1470,,,2002
BMW,318D,1951,OLEJ NAPĘDOWY,"",2001-11-16,2012-02-17,2023-06-20,"",DOLNOŚLĄSKIE,JELENIA GÓRA,JELENIA GÓRA,85,1470,,,2001
RENAULT,CLIO,1149,BENZYNA,"",2011-01-28,2012-02-17,2023-06-19,"",DOLNOŚLĄSKIE,WOŁÓW,WOŁOWSKI,55,1118,,,2011
RENAULT,CLIO 1.5 DCI,1461,OLEJ NAPĘDOWY,"",2008-06-30,2012-02-17,2023-06-14,"",DOLNOŚLĄSKIE,KAMIENNA GÓRA,KAMIENNOGÓRSKI,50,1165,,,2008
PEUGEOT,508,1997,OLEJ NAPĘDOWY,NIE DOTYCZY,2012-02-21,2012-02-21,2023-06-14,"",DOLNOŚLĄSKIE,GÓRA,GÓROWSKI,120,1480,129,,2012
AUDI,A4,1781,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2000-02-15,2012-02-24,2023-06-20,"",DOLNOŚLĄSKIE,KAMIENNA GÓRA,KAMIENNOGÓRSKI,110,1330,,,2000
VOLKSWAGEN,GOLF,1595,BENZYNA,"",2000-01-11,2012-02-24,2023-06-02,"",DOLNOŚLĄSKIE,LUBAŃ,LUBAŃSKI,74,1092,,,1999
CITROEN,XSARA PICASSO,1761,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2000-07-06,2012-02-27,2023-06-20,"",DOLNOŚLĄSKIE,BOLESŁAWIEC,BOLESŁAWIECKI,81,1262,,,2000
AUDI,A6,2671,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2001-01-25,2012-03-01,2023-06-14,"",DOLNOŚLĄSKIE,GŁOGÓW,GŁOGOWSKI,184,1915,,,2000
BMW,320D,1995,OLEJ NAPĘDOWY,"",2005-03-04,2012-03-05,2023-06-02,"",DOLNOŚLĄSKIE,TRZEBNICA,TRZEBNICKI,120,1490,,,2005
BMW,116,1995,BENZYNA,"",2009-06-25,2012-03-06,2023-06-14,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,90,1350,,,2009
HYUNDAI,I30,1396,BENZYNA,"",2012-03-06,2012-03-06,2023-06-06,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,,1193,,,2011
NISSAN,PRIMERA 1.6 KAT,1597,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2006-03-27,2012-03-07,2023-06-02,"",DOLNOŚLĄSKIE,OŁAWA,OŁAWSKI,80,1425,,,2006
SUZUKI,SWIFT,1328,BENZYNA,"",2010-03-17,2012-03-13,2023-06-13,"",DOLNOŚLĄSKIE,STRZELIN,STRZELIŃSKI,68,1055,,,2010
VOLKSWAGEN,PASSAT,1595,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),1999-07-07,2012-03-15,2023-06-09,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,74,1357,,,1999
VOLKSWAGEN,GOLF,1390,BENZYNA,"",2012-03-15,2012-03-15,2023-06-16,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,59,1142,,,2012
BMW,320D,1995,OLEJ NAPĘDOWY,"",2005-03-03,2012-03-16,2023-06-05,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,120,1415,,,2005
FIAT,BRAVO,1368,BENZYNA,"",2012-03-16,2012-03-16,2023-06-22,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,88,1291,146,,2012
MINI,COOPER,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2002-04-29,2012-03-19,2023-06-16,"",DOLNOŚLĄSKIE,MILICZ,MILICKI,85,1125,,,2002
OPEL,CORSA,1199,BENZYNA,"",2003-07-17,2012-03-20,2023-06-06,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,55,960,,,2003
AUDI,A4,1896,OLEJ NAPĘDOWY,"",2002-10-16,2012-03-22,2023-06-16,"",DOLNOŚLĄSKIE,TRZEBNICA,TRZEBNICKI,96,1525,,,2002
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",1999-06-28,2012-03-22,2023-06-14,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,66,1302,,,1999
BMW,X6 XDRIVE 30D,2993,OLEJ NAPĘDOWY,"",2012-03-23,2012-03-23,2023-06-13,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,180,2075,195,,2011
TOYOTA,AVENSIS,1998,OLEJ NAPĘDOWY,"",2012-03-23,2012-03-23,2023-06-09,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,91,1577,120,,2012
NISSAN,300ZX,2960,BENZYNA,"",1994-10-27,2012-03-26,2023-06-15,"",DOLNOŚLĄSKIE,WOŁÓW,WOŁOWSKI,197,1635,,,1994
NISSAN,QASHQAI,1995,OLEJ NAPĘDOWY,"",2009-12-10,2012-03-27,2023-06-14,"",DOLNOŚLĄSKIE,LUBAŃ,LUBAŃSKI,110,1697,,,2009
OPEL,ASTRA,1686,OLEJ NAPĘDOWY,"",2003-03-13,2012-03-27,2023-06-14,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,55,1280,,,2003
SKODA,OCTAVIA,1595,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2012-03-28,2012-03-28,2023-06-06,"",DOLNOŚLĄSKIE,LEGNICA,LEGNICA,75,1205,166,,2012
BMW,116,1995,BENZYNA,"",2010-02-01,2012-03-28,2023-06-16,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,90,1350,,,2010
PEUGEOT,207,1398,OLEJ NAPĘDOWY,"",2012-03-28,2012-03-28,2023-06-21,"",DOLNOŚLĄSKIE,ZGORZELEC,ZGORZELECKI,50,1184,110,,2011
LAND ROVER,FREELANDER 2,2179,OLEJ NAPĘDOWY,"",2012-03-29,2012-03-29,2023-06-22,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,110,1883,,,2011
FORD,MONDEO,2179,OLEJ NAPĘDOWY,"",2009-04-29,2012-03-30,2023-06-20,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,129,1599,,,2009
SKODA,OCTAVIA,1896,OLEJ NAPĘDOWY,"",2002-06-05,2012-03-30,2023-06-06,"",DOLNOŚLĄSKIE,GŁOGÓW,GŁOGOWSKI,66,1415,,,2002
BMW,320D,1995,OLEJ NAPĘDOWY,"",2001-11-27,2012-04-03,2023-06-20,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,110,1470,,,2001
OPEL,ASTRA,1598,BENZYNA,"",2012-04-04,2012-04-04,2023-06-06,"",DOLNOŚLĄSKIE,ZGORZELEC,ZGORZELECKI,85,1362,,,2011
KIA,CERATO,1991,OLEJ NAPĘDOWY,"",2005-01-10,2012-04-05,2023-06-23,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,83,1399,,,2004
SKODA,OCTAVIA,1798,BENZYNA,"",2012-04-06,2012-04-06,2023-06-19,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,118,1310,155,,2012
OPEL,SIGNUM 1.9 CDTI,1910,OLEJ NAPĘDOWY,"",2005-04-27,2012-04-06,2023-06-09,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,110,1613,,,2005
FORD,GALAXY,1896,OLEJ NAPĘDOWY,"",2002-04-09,2012-04-06,2023-06-02,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,85,2020,,,2002
FORD,MONDEO,1997,OLEJ NAPĘDOWY,"",2012-04-10,2012-04-10,2023-06-02,"",DOLNOŚLĄSKIE,LEGNICA,LEGNICA,120,1482,139,,2012
OPEL,CORSA,1229,BENZYNA,"",2012-04-12,2012-04-12,2023-06-02,"",DOLNOŚLĄSKIE,LUBIN,LUBIŃSKI,63,1088,125,,2011
TOYOTA,AVENSIS,1995,OLEJ NAPĘDOWY,"",2005-04-25,2012-04-16,2023-06-15,"",DOLNOŚLĄSKIE,LUBAŃ,LUBAŃSKI,85,1495,,,2005
VOLKSWAGEN,GOLF,1595,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),1999-09-02,2012-04-16,2023-06-19,"",DOLNOŚLĄSKIE,BOLESŁAWIEC,BOLESŁAWIECKI,74,1231,,,1999
HONDA,ACCORD,2199,OLEJ NAPĘDOWY,"",2010-01-04,2012-04-17,2023-06-05,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,110,1663,,,2009
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",2005-05-03,2012-04-17,2023-06-19,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,77,1470,,,2005
SKODA,FABIA 1.9 TDI,1896,OLEJ NAPĘDOWY,"",2002-03-19,2012-04-18,2023-06-12,"",DOLNOŚLĄSKIE,DZIERŻONIÓW,DZIERŻONIOWSKI,74,1220,,,2002
PEUGEOT,208,1398,OLEJ NAPĘDOWY,"",2012-04-20,2012-04-20,2023-06-07,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,50,1050,98,,2012
AUDI,A4 1.9 TDI,1896,OLEJ NAPĘDOWY,"",2005-04-06,2012-04-20,2023-06-15,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,85,1465,,,2005
SUBARU,LEGACY 2.5 AWD,2457,BENZYNA,NIE DOTYCZY,2012-04-23,2012-04-23,2023-06-05,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,123,1614,,,2011
NISSAN,MICRA,1198,BENZYNA,"",2012-04-24,2012-04-24,2023-06-23,"",DOLNOŚLĄSKIE,TRZEBNICA,TRZEBNICKI,59,980,115,5,2011
MAZDA,323F,1598,BENZYNA,"",2001-08-27,2012-04-24,2023-06-15,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,72,1185,,,2001
AUDI,A4,1896,OLEJ NAPĘDOWY,"",2001-12-04,2012-04-25,2023-06-15,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,96,1525,,,2001
MAZDA,6,1998,OLEJ NAPĘDOWY,"",2009-03-17,2012-04-25,2023-06-05,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,103,1425,,,2009
NISSAN,QASHQAI,1598,BENZYNA,"",2012-04-27,2012-04-27,2023-06-22,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,86,1300,144,,2012
TOYOTA,AURIS,1998,OLEJ NAPĘDOWY,"",2007-02-20,2012-05-02,2023-06-16,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,93,1480,,,2007
OPEL,CORSA 1.2,1199,BENZYNA,"",1998-10-14,2012-05-04,2023-06-23,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,48,950,,,1998
OPEL,ASTRA,1598,BENZYNA,"",2012-05-07,2012-05-07,2023-06-23,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,85,1362,,,2011
CHEVROLET,AVEO,1206,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2012-05-08,2012-05-08,2023-06-22,"",DOLNOŚLĄSKIE,TRZEBNICA,TRZEBNICKI,62,1080,130,,2011
FORD,GALAXY,1753,OLEJ NAPĘDOWY,"",2007-05-29,2012-05-10,2023-06-05,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,92,1807,,,2007
RENAULT,SCENIC,1461,OLEJ NAPĘDOWY,"",2007-08-31,2012-05-11,2023-06-05,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,78,1365,,,2007
OPEL,ASTRA 1.7 DTI,1686,OLEJ NAPĘDOWY,"",2000-07-17,2012-05-11,2023-06-13,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,55,1244,,,2000
VOLKSWAGEN,PASSAT,1595,BENZYNA,"",2000-02-09,2012-05-11,2023-06-12,"",DOLNOŚLĄSKIE,LEGNICA,LEGNICA,74,1357,,,1999
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",2001-01-24,2012-05-11,2023-06-09,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,74,1375,,,2001
CITROEN,C4,1560,OLEJ NAPĘDOWY,"",2005-06-10,2012-05-14,2023-06-07,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,66,1255,,,2005
VOLKSWAGEN,GOLF PLUS,1896,OLEJ NAPĘDOWY,"",2007-05-07,2012-05-14,2023-06-05,"",DOLNOŚLĄSKIE,GÓRA,GÓROWSKI,77,1473,,,2007
TOYOTA,YARIS,998,BENZYNA,"",2012-05-15,2012-05-15,2023-06-09,"",DOLNOŚLĄSKIE,STRZELIN,STRZELIŃSKI,51,1020,111,,2012
OPEL,ZAFIRA TOURER,1956,OLEJ NAPĘDOWY,"",2012-05-16,2012-05-16,2023-06-07,"",DOLNOŚLĄSKIE,GŁOGÓW,GŁOGOWSKI,121,1768,,,2012
BMW,318I,1895,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2000-01-06,2012-05-16,2023-06-16,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,85,1420,,,2000
MERCEDES-BENZ,211,2148,OLEJ NAPĘDOWY,"",2003-05-22,2012-05-17,2023-06-06,"",DOLNOŚLĄSKIE,ZGORZELEC,ZGORZELECKI,110,1640,,,2003
VOLKSWAGEN,POLO,1390,BENZYNA,"",2000-08-15,2012-05-17,2023-06-14,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,44,996,,,2000
MAZDA,323F,1998,OLEJ NAPĘDOWY,"",1999-01-15,2012-05-21,2023-06-12,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,66,1170,,,1998
PEUGEOT,RCZ,1598,BENZYNA,NIE DOTYCZY,2012-05-21,2012-05-21,2023-06-21,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,147,1297,155,,2012
OPEL,ZAFIRA,1910,OLEJ NAPĘDOWY,"",2007-09-06,2012-05-22,2023-06-20,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,110,1613,,,2007
AUDI,A4 ALLROAD QUATTRO,1984,BENZYNA,"",2012-05-23,2012-05-23,2023-06-16,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,155,1650,170,,2012
TOYOTA,YARIS,998,BENZYNA,"",1999-06-10,2012-05-23,2023-06-06,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,50,905,,,1999
VOLKSWAGEN,POLO,1398,BENZYNA,"",2002-10-14,2012-05-23,2023-06-23,"",DOLNOŚLĄSKIE,STRZELIN,STRZELIŃSKI,63,1107,,,2002
BMW,320D,1995,OLEJ NAPĘDOWY,"",2003-05-23,2012-05-24,2023-06-16,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,110,1580,,,2003
SKODA,FABIA,1896,OLEJ NAPĘDOWY,"",2001-11-20,2012-05-25,2023-06-06,"",DOLNOŚLĄSKIE,KAMIENNA GÓRA,KAMIENNOGÓRSKI,74,1220,,,2001
MERCEDES-BENZ,GL 450 4MATIC,4663,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2008-01-01,2012-05-25,2023-06-01,"",DOLNOŚLĄSKIE,OLEŚNICA,OLEŚNICKI,250,2355,,,2008
BMW,320D,1951,OLEJ NAPĘDOWY,"",2001-04-11,2012-05-28,2023-06-19,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,100,1450,,,2001
FORD,C-MAX,1753,OLEJ NAPĘDOWY,"",2009-09-01,2012-05-28,2023-06-23,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,85,1390,,,2009
BMW,320D,1995,OLEJ NAPĘDOWY,"",2006-07-07,2012-05-29,2023-06-09,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,120,1595,,,2006
VOLKSWAGEN,TOURAN,1968,OLEJ NAPĘDOWY,"",2009-07-23,2012-05-29,2023-06-07,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,103,1675,,,2009
BMW,320,1995,OLEJ NAPĘDOWY,"",2006-10-04,2012-05-30,2023-06-14,"",DOLNOŚLĄSKIE,JAWOR,JAWORSKI,110,1580,,,2006
OPEL,ASTRA,1598,BENZYNA,"",2012-05-30,2012-05-30,2023-06-05,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,85,1362,,,2012
FORD,MONDEO,1997,OLEJ NAPĘDOWY,"",2012-05-31,2012-05-31,2023-06-19,"",DOLNOŚLĄSKIE,KAMIENNA GÓRA,KAMIENNOGÓRSKI,103,1500,129,,2012
BMW,Z3,1895,BENZYNA,"",1997-07-09,2012-05-31,2023-06-16,"",DOLNOŚLĄSKIE,KŁODZKO,KŁODZKI,85,1185,,,1997
KIA,SPORTAGE,1591,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2012-06-01,2012-06-01,2023-06-12,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,99,1305,158,,2012
PORSCHE,CAYENNE DIESEL,2967,OLEJ NAPĘDOWY,"",2012-06-04,2012-06-04,2023-06-02,"",DOLNOŚLĄSKIE,POLKOWICE,POLKOWICKI,180,2080,189,,2012
TOYOTA,YARIS,998,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2012-06-04,2012-06-04,2023-06-03,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,51,998,111,,2012
BMW,335I,2979,BENZYNA,"",2007-01-01,2012-06-05,2023-06-22,"",DOLNOŚLĄSKIE,ŚWIDNICA,ŚWIDNICKI,225,1605,,,2007
SEAT,TOLEDO,1595,BENZYNA,"",1995-12-28,2012-06-05,2023-06-05,"",DOLNOŚLĄSKIE,BOLESŁAWIEC,BOLESŁAWIECKI,55,985,,,1995
MERCEDES-BENZ,C 180,1796,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2012-06-05,2012-06-05,2023-06-09,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,115,1420,155,,2012
VOLKSWAGEN,PASSAT,1896,OLEJ NAPĘDOWY,"",2006-07-14,2012-06-05,2023-06-02,"",DOLNOŚLĄSKIE,LWÓWEK ŚLĄSKI,LWÓWECKI,77,1552,,,2006
AUDI,A4,1896,OLEJ NAPĘDOWY,"",2003-07-29,2012-06-06,2023-06-23,"",DOLNOŚLĄSKIE,DZIERŻONIÓW,DZIERŻONIOWSKI,96,1530,,,2003
RENAULT,MEGANE,1598,BENZYNA,GAZ PŁYNNY (PROPAN-BUTAN),2012-06-06,2012-06-06,2023-06-12,"",DOLNOŚLĄSKIE,WROCŁAW-STARE MIASTO,WROCŁAW,74,1286,155,,2012
SKODA,YETI,1968,OLEJ NAPĘDOWY,"",2012-06-06,2012-06-06,2023-06-02,"",DOLNOŚLĄSKIE,WAŁBRZYCH,WAŁBRZYCH,125,1460,155,,2012
KIA,PICANTO,998,BENZYNA,"",2012-06-06,2012-06-06,2023-06-05,"",DOLNOŚLĄSKIE,KAMIENNA GÓRA,KAMIENNOGÓRSKI,,845,,,2012
VOLKSWAGEN,GOLF,1896,OLEJ NAPĘDOWY,"",1998-11-30,2012-06-11,2023-06-01,"",DOLNOŚLĄSKIE,WROCŁAW-KRZYKI,WROCŁAW,66,1375,,,1998
RENAULT,MEGANE SCENIC,1870,OLEJ NAPĘDOWY,"",2001-01-31,2012-06-12,2023-06-22,"",DOLNOŚLĄSKIE,ŚRODA ŚLĄSKA,ŚREDZKI,72,1265,,,2001
TOYOTA,AVENSIS,1995,OLEJ NAPĘDOWY,"",2003-12-12,2012-06-12,2023-06-19,"",DOLNOŚLĄSKIE,JELENIA GÓRA,JELENIA GÓRA,85,1505,,,2003
AUDI,A3,1595,BENZYNA,"",1999-04-15,2012-06-13,2023-06-09,"",DOLNOŚLĄSKIE,ZĄBKOWICE ŚLĄSKIE,ZĄBKOWICKI,74,1165,,,1999
